Années,AvgT,pre,Ncas
 2000,29.06,79.0041666666667,7002044
 2001,29.1575,76.6616666666667,7189899
 2002,29.1841666666667,77.3758333333333,7324867
 2003,29.2908333333333,67.2275,7404515
 2004,29.295,76.165,7328543
 2005,29.3191666666667,68.1808333333333,7165234
 2006,29.3533333333333,71.7816666666667,7164531
 2007,29.3908333333333,66.5816666666667,7500979
 2008,29.42,76.8841666666667,8163719
 2009,29.4291666666667,61.2958333333333,8660267
 2010,29.43,74.9175,8915088
 2011,29.4658333333333,72.6916666666667,8959042
 2012,29.505,69.215,8851576
 2013,29.5275,72.9766666666667,8317848
 2014,29.5625,66.0983333333333,7879925
 2015,29.5633333333333,68.5308333333333,7671964
 2016,29.6133333333333,62.7258333333333,7134681
 2017,29.63,77.9425,7095168
 2018,29.6591666666667,57.4983333333333,7292399
 2019,29.68,62.4441666666667,7439282
 2020,30.0158333333333,59.5641666666667,8150690
