Années,AvgT,pre,Ncas
2000,24.57,135.84,6263468
2001,24.63,139.350833333333,6484711
2002,24.81,140.356666666667,6575562
2003,24.86,138.753333333333,6996994
2004,24.93,132.970833333333,7478042
2005,24.97,128.62,7658081
2006,24.88,140.409166666667,7638072
2007,24.88,143.200833333333,7488144
2008,24.68,135.1875,6997342
2009,25.00,130.895,624301
2010,25.17,135.700833333333,5916662
2011,24.81,128.935833333333,5612172
2012,24.77,138.000833333333,5543813
2013,24.88,131.755,5786535
2014,24.92,129.891666666667,5940368
2015,24.95,122.255833333333,6087831
2016,25.21,142.634166666667,6163766
2017,24.94,137.295,6155492
2018,24.94,129.9275,6236858
2019,24.88,141.895,6316506
2020,25.22,136.629166666667,6900814
