Annees;AvgT;pre;Ncas
2000;27.84;961.84;2 906 648
2001;28.01;846.08;3 062 820
2002;28.06;1021.21;3 273 171
2003;28.15;1199.85;3 461 238
2004;28.00;1041.47;3 713 286
2005;28.32;988.65;3 880 119
2006;28.19;983.28;3 990 012
2007;28.17;1128.83;4 075 243
2008;27.85;1186.52;4 064 889
2009;28.31;1096.71;3 959 981
2010;28.46;1128.68;3 830 368
2011;28.19;977.35;3 662 477
2012;28.01;999.65;3 555 478
2013;28.16;939.67;3 596 818
2014;28.33;1007.58;3 746 939
2015;28.27;922.35;4 083 754
2016;28.53;954.21;4 549 900
2017;28.35;1031.61;4 717 923
2018;28.33;1106.88;4 706 391
2019;28.17;1179.57;4 735 800
2020;28.43;1112.96;4 707 522
