Annees;AvgT;pre;Ncas
2000;25.09;1954.55;760 760
2001;25.36;1773.11;467 114
2002;25.63;1808.17;407 200
2003;25.43;1741.26;465 651
2004;25.35;1830.88;516 739
2005;25.61;1741.26;658 276
2006;25.42;1872.85;584 183
2007;25.54;1753.14;534 516
2008;25.24;1915.23;335 694
2009;25.44;1955.23;328 858
2010;25.68;1770.12;390 023
2011;25.36;1883.68;284 024
2012;25.56;1671.54;258 095
2013;25.50;1837.01;197 679
2014;25.67;1748.98;146 599
2015;25.97;1590.47;164 589
2016;25.84;1618.78;132 022
2017;25.77;1656.21;220 912
2018;25.59;1804.91;218 813
2019;25.94;1688.75;178 652
2020;25.93;1728.40;167 097
