Ans,AvgT,pre,pNcas
2000,26.1908333333333,27.31,3351197
2001,26.7491666666667,27.35,3205889
2002,22.8216666666667,27.48,3155109
2003,27.4925,27.80,2915825
2004,29.1658333333333,27.93,2775765
2005,31.4675,27.85,2646943
2006,30.535,27.81,2550213
2007,31.3908333333333,27.75,2489517
2008,30.3633333333333,27.66,2559176
2009,27.9525,28.30,2660817
2010,30.8391666666667,28.53,2760481
2011,29.4333333333333,27.77,2672984
2012,33.75,27.76,2513300
2013,28.9775,27.80,2419751
2014,31.34,27.79,2336909
2015,31.66,27.71,2228197
2016,30.25,27.96,2136583
2017,30.185,27.57,2117386
2018,29.0516666666667,27.62,2085966
2019,32.0016666666667,27.77,2303533
2020,32.2116666666667,27.37,2206959
