Années,AvgT,pre,Ncas
 2000,28.10,102.675833333333,8390825
 2001,27.81,120.86,8296535
 2002,27.95,109.6025,7919784
 2003,28.04,94.5375,7696197
 2004,28.21,99.53,7493504
 2005,27.95,92.2016666666667,7338128
 2006,27.83,103.730833333333,7340195
 2007,27.70,91.8766666666667,7545707
 2008,27.53,104.445833333333,8063544
 2009,27.77,100.383333333333,8695038
 2010,28.07,111.545,9211717
 2011,27.76,104.436666666667,9551273
 2012,27.44,113.5525,9516545
 2013,27.74,110.299166666667,9086246
 2014,27.74,97.1791666666667,8460913
 2015,27.88,96.0525,7681390
 2016,27.60,97.7233333333333,6763906
 2017,27.71,106.635833333333,5850313
 2018,27.67,101.145,5111179
 2019,27.58,92.0725,4911921
 2020,27.50,92.71,5060166
