Annees;Avgt;Pre;Ncas
2000;25.50;1795.84;3 667 311
2001;25.80;1685.31;3 726 628
2002;26.02;1616.51;3 658 405
2003;25.92;1875.01;3 539 604
2004;26.06;1818.63;3 310 157
2005;26.11;1791.92;3 130 628
2006;25.92;1923.95;3 102 396
2007;26.00;1633.72;3 203 174
2008;25.77;1864.69;3468822
2009;25.74;1738.15;3 832 532
2010;26.24;2017.22;4 145 673
2011;26.00;1723.54;4 395 976
2012;25.72;1821.32;4 577 634
2013;25.91;1848.60;4 517 687
2014;25.85;1729.71;4 447 573
2015;26.05;1872.83;4 369 537
2016;26.30;1785.23;4 235 383
2017;26.23;1690.61;4268657
2018;26.08;1774.26;4335930
2019;25.84;1797.84;4187051
2020;26.33;1764.30;4196430
