Années,AvgT,pre,Ncas
 2000,25.43,67.3758333333333,6929773
 2001,25.45,95.5108333333333,7938230
 2002,25.01,69.6175,7543097
 2003,25.36,88.2141666666667,7255664
 2004,25.56,59.3475,6345814
 2005,25.21,67.3475,5000527
 2006,25.11,52.2691666666667,3896588
 2007,25.15,64.0275,3085187
 2008,24.92,68.0641666666667,2639673
 2009,25.21,54.0291666666667,2567362
 2010,25.41,56.3,2690765
 2011,25.56,56.9441666666667,2844630
 2012,24.96,57.31,3050368
 2013,25.00,59.7075,3247830
 2014,25.11,66.3066666666667,3303940
 2015,24.97,45.425,3292619
 2016,25.05,54.865,3235476
 2017,25.35,54.2016666666667,3140919
 2018,25.38,67.8925,3070698
 2019,25.10,53.1908333333333,2967868
 2020,24.91,41.5341666666667,2738383
