An,AvgT,pre,Ncas
 2000,26.92,95.5158333333333,64677959
 2001,27.11,96.02,62075250
 2002,27.28,95.1725,61757109
 2003,27.38,106.421666666667,60378016
 2004,27.38,95.6408333333333,60355724
 2005,27.50,98.9458333333333,59162695
 2006,27.47,98.4841666666667,58577749
 2007,27.45,98.9,58570568
 2008,27.09,100.391666666667,57063559
 2009,27.75,97.5583333333333,56872963
 2010,27.86,103.4325,56627136
 2011,27.49,87.6108333333333,54860037
 2012,27.30,103.349166666667,54658102
 2013,27.51,89.0991666666667,54284280
 2014,27.61,95.1983333333333,52990392
 2015,27.38,88.37,52935597
 2016,27.79,103.74,52452825
 2017,27.46,96.5216666666667,51659556
 2018,27.41,102.7175,51130906
 2019,27.29,108.035833333333,51119378
 2020,27.43,104.551666666667,50530444
