Années,AvgT,pre,Ncas
2000,25.33,109.199166666667,1622774
2001,25.27,112.5475,1532089
2002,25.36,107.554166666667,1515019
2003,25.57,113.0375,1510710
2004,25.78,108.530833333333,1516132
2005,25.84,113.355833333333,1556627
2006,25.67,114.416666666667,1618953
2007,25.65,114.6075,1651034
2008,25.51,110.9625,1675743
2009,26.00,114.229166666667,1704764
2010,25.98,116.464166666667,1735412
2011,25.45,114.515,1776590
2012,25.46,118.196666666667,1806806
2013,25.56,119.153333333333,1814818
2014,25.48,114.161666666667,1812384
2015,25.58,114.598333333333,1796295
2016,25.72,118.560833333333,1767974
2017,25.48,116.693333333333,1703351
2018,25.45,111.766666666667,1651740
2019,25.70,113.725,1615118
2020,25.67,113.713333333333,1608936
