Années,AvgT,pre,Ncas
 2000,19.30,95.5158333333333,390611
 2001,19.36,96.02,646386
 2002,19.62,95.1725,683661
 2000,19.30,95.5158333333333,390611
 2001,19.36,96.02,646386
 2002,19.62,95.1725,683661
 2003,19.62,106.421666666667,840559
 2004,19.36,95.6408333333333,1079765
 2005,19.36,98.9458333333333,1127711
 2006,19.25,98.4841666666667,1214623
 2007,19.28,98.9,1298588
 2008,19.17,100.391666666667,1391517
 2009,19.64,97.5583333333333,1396850
 2010,19.60,103.4325,1546660
 2011,19.12,87.6108333333333,1604762
 2012,19.02,103.349166666667,1963986
 2013,19.21,89.0991666666667,1983730
 2014,19.02,95.1983333333333,2299121
 2015,19.07,88.37,2986047
 2016,19.33,103.74,3585563
 2017,19.48,96.5216666666667,4590903
 2018,19.07,102.7175,4887836
 2019,19.26,108.035833333333,6134659
 2020,19.13,104.551666666667,8681013
