Annees;AvgT;pre;Ncas
2000;28.60;723.64;3 000 479
2001;29.04;637.49;2 746 324
2002;29.03;492.25;2 299 641
2003;28.94;839.01;2 137 402
2004;29.03;642.27;1 502 581
2005;29.18;895.79;1 389 197
2006;28.94;702.04;1 380 317
2007;28.96;559.73;1 160 145
2008;28.97;833.54;628 766
2009;28.64;814.88;405 713
2010;29.44;925.70;766 710
2011;28.91;653.63;637 322
2012;28.81;889.51;713 894
2013;28.99;759.61;851 522
2014;28.91;660.95;546 694
2015;29.15;743.15;1 010 929
2016;29.43;738.40;684131
2017;29.35;741.82;805 707
2018;28.81;687.87;1 047 659
2019;28.83;711.64;672 221
2020;29.56;780.57;836 014
