Annees;AvgT;pre;Ncas
2000;27.20;1125.99;2 195 221
2001;27.36;938.80;2 237 356
2002;27.39;1186.15;2 309 443
2003;27.47;1372.15;2 418 416
2004;27.29;1231.46;2 546 882
2005;27.61;1139.03;2 588 578
2006;27.51;1135.17;2 567 929
2007;27.46;1341.91;2 502 376
2008;27.46;1384.31;2 305 409
2009;27.51;1312.63;2 096 254
2010;27.79;1391.63;2 045 765
2011;27.47;1199.30;2 089 932
2012;27.29;1202.23;2 311 995
2013;27.43;1087.45;2 553 510
2014;27.61;1266.98;2 605 134
2015;27.67;1091.42;2 581 206
2016;27.89;1136.47;2 405 650
2017;27.71;1133.18;2 106 005
2018;27.67;1292.82;1 932 188
2019;27.55;1475.26;1 852 017
2020;27.82;1181.35;1 894 656
