Années,AvgT,pre,Ncas
 2000,21.92,56.9883333333333,1057512
 2001,22.36,60.9425,1061288
 2002,22.09,52.9191666666667,1063993
 2003,21.71,75.2891666666667,1066479
 2004,22.25,44.2,1069833
 2005,22.31,37.7925,1074888
 2006,21.71,52.0133333333333,1081901
 2007,21.58,55.0241666666667,1690025
 2008,21.91,48.7933333333333,728426
 2009,21.68,65.2633333333333,889197
 2010,22.25,59.8925,1097776
 2011,22.02,56.595,717620
 2012,21.94,49.8441666666667,590910
 2013,22.01,58.9908333333333,861512
 2014,21.88,62.9925,1090112
 2015,22.79,50.7533333333333,1061804
 2016,22.03,65.0408333333333,755407
 2017,21.96,51.3725,1332055
 2018,21.85,37.2625,634718
 2019,21.60,74.5758333333333,782740
 2020,21.23,76.0208333333333,1152901
